author_no_yes_correct,author_no_yes_pred,best_ensemble_correct,best_ensemble_pred,bounds_keyword_count,char_len,cwe,error_handling_keyword_count,idx,lifecycle_keyword_count,line_count,memory_api_count,null_keyword_count,old_rag_correct,old_rag_pred,patch_contrast_correct,patch_contrast_pred,positive_weighted_rag_correct,positive_weighted_rag_pred,project,retrieval_pos_neg_margin_max,retrieval_top1_score,target,token_len_approx,yes_only_correct,yes_only_pred,zero_shot_correct,zero_shot_pred
1,1,1,1,4,1688,CWE-345,7,197801,1,45,0,0,0,0,0,0,0,0,tensorflow,-0.0012814998626708984,0.909969687461853,1,391,1,1,1,1
1,1,1,1,5,3429,CWE-276,15,197973,0,93,1,5,0,0,0,0,1,1,crun,0.0033065080642700195,0.94010329246521,1,598,1,1,1,1
1,1,1,1,22,11099,CWE-703,5,198013,0,231,2,3,1,1,0,0,0,0,tensorflow,0.0012999176979064941,0.95183265209198,1,1951,1,1,1,1
1,1,1,1,0,5377,CWE-703,15,198374,0,124,0,15,0,0,0,0,0,0,tensorflow,-0.0010074377059936523,0.9643769264221191,1,1045,1,1,1,1
1,1,1,1,1,1384,CWE-125,11,198743,0,50,0,1,0,0,0,0,0,0,LuaJIT,0.008090615272521973,0.9278562068939209,1,334,1,1,1,1
1,1,1,1,34,19279,CWE-444,381,199778,0,953,0,0,1,1,0,0,1,1,puma,0.003126680850982666,0.9263651371002197,1,5982,1,1,1,1
1,1,1,1,0,308,CWE-125,2,199836,0,16,0,0,1,1,0,0,0,0,pjproject,-0.0019130110740661621,0.9292430281639099,1,66,1,1,1,1
1,1,1,1,0,204,CWE-416,3,201343,0,6,0,1,0,0,0,0,0,0,linux,-0.009820044040679932,0.9409523606300354,1,34,1,1,0,0
0,0,1,1,0,762,CWE-787,5,201384,0,40,0,2,0,0,0,0,0,0,vim,0.006006360054016113,0.938796877861023,1,211,1,1,1,1
1,1,1,1,2,1188,CWE-476,11,201925,1,60,3,4,0,0,0,0,0,0,linux,0.004464507102966309,0.9506479501724243,1,284,1,1,1,1
1,1,1,1,30,19946,CWE-787,87,202081,14,764,6,29,1,1,0,0,1,1,vim,0.005560815334320068,0.9336655139923096,1,4736,1,1,1,1
1,1,1,1,5,2943,CWE-787,10,202125,0,119,1,4,1,1,0,0,1,1,cairo,0.004602372646331787,0.9340559244155884,1,819,1,1,1,1
1,1,1,1,4,9164,CWE-787,4,202256,0,235,1,1,1,1,0,0,1,1,qtbase,0.002602994441986084,0.9106588959693909,1,1916,1,1,1,1
0,0,1,1,0,422,CWE-200,3,204830,0,17,0,0,1,1,0,0,0,0,linux,-0.0009312033653259277,0.9559057950973511,1,96,1,1,0,0
1,1,1,1,3,9072,CWE-787,33,206262,3,362,0,11,1,1,0,0,1,1,vim,0.0052356719970703125,0.9511356353759766,1,2095,1,1,1,1
1,1,1,1,0,5477,CWE-416,28,206273,8,177,8,8,1,1,0,0,0,0,radare2,0.0028003454208374023,0.9434003829956055,1,1473,1,1,1,1
0,0,1,1,2,6235,CWE-122,11,206676,4,242,0,4,0,0,0,0,0,0,vim,0.0018655657768249512,0.9562565088272095,1,1325,1,1,0,0
1,1,1,1,13,5339,CWE-703,25,206677,0,211,0,10,0,0,0,0,1,1,vim,0.00909888744354248,0.9459242224693298,1,1334,1,1,1,1
1,1,1,1,2,4177,CWE-703,4,206946,0,168,1,0,1,1,0,0,0,0,jasper,0.005607903003692627,0.9437704682350159,1,861,1,1,1,1
1,1,1,1,0,600,CWE-703,3,207150,0,18,0,0,0,0,0,0,0,0,squirrel,-0.00350266695022583,0.9324642419815063,1,157,1,1,1,1
0,0,1,1,0,913,CWE-703,4,208107,0,44,0,0,0,0,0,0,0,0,linux,0.0027914047241210938,0.9406047463417053,1,246,1,1,1,1
1,1,1,1,1,2285,CWE-703,14,208115,1,89,0,2,0,0,0,0,0,0,linux,0.0033530592918395996,0.9390450716018677,1,561,1,1,1,1
1,1,1,1,10,17737,CWE-399,149,208505,0,536,3,21,1,1,0,0,1,1,tor,0.012594461441040039,0.9442147612571716,1,3819,1,1,1,1
0,0,1,1,0,148,CWE-415,3,208535,0,5,0,1,0,0,0,0,0,0,rizin,-0.006289303302764893,0.9389716386795044,1,41,1,1,0,0
1,1,1,1,14,13139,CWE-416,39,208680,4,464,5,10,1,1,0,0,1,1,radare2,0.010909676551818848,0.9638922214508057,1,3167,1,1,1,1
1,1,1,1,6,22314,CWE-703,65,209102,21,829,1,20,0,0,0,0,0,0,vim,0.003345966339111328,0.9430056810379028,1,4619,1,1,0,0
1,1,1,1,0,205,CWE-476,0,209801,0,12,0,0,0,0,0,0,0,0,mujs,-0.005639076232910156,0.9336884021759033,1,61,1,1,1,1
1,1,1,1,0,3834,CWE-125,15,210520,0,183,0,7,0,0,0,0,0,0,vim,0.0007871389389038086,0.9111355543136597,1,985,1,1,0,0
1,1,1,1,0,534,CWE-416,2,211113,0,23,0,1,1,1,0,0,1,1,linux,0.001225590705871582,0.9620147943496704,1,116,1,1,1,1
1,1,1,1,15,2835,CWE-17,20,211181,0,118,1,6,0,0,0,0,0,0,php-src,0.01700371503829956,1.000000238418579,1,871,1,1,1,1
0,0,1,1,3,5974,CWE-787,13,211842,6,208,4,5,1,1,0,0,0,0,vim,0.0002739429473876953,0.9382659196853638,1,1330,1,1,0,0
1,1,1,1,39,5086,CWE-668,20,211877,1,137,1,4,1,1,0,0,0,0,libexpat,0.004100322723388672,0.9538789391517639,1,1052,1,1,1,1
1,1,1,1,5,1932,CWE-119,24,212144,1,50,1,6,0,0,0,0,0,0,libmobi,0.006139874458312988,0.9277764558792114,1,383,1,1,1,1
1,1,1,1,11,3456,CWE-732,15,212934,1,106,2,3,0,0,0,0,0,0,cyrus-imapd,0.007845818996429443,0.9543606042861938,1,720,1,1,0,0
1,1,1,1,16,6540,CWE-787,10,213515,3,244,1,3,1,1,0,0,1,1,vim,0.005741119384765625,0.9512767195701599,1,1575,1,1,1,1
1,1,1,1,3,2176,CWE-416,20,213528,1,84,0,3,0,0,0,0,0,0,linux,-6.622076034545898e-05,0.9335735440254211,1,521,1,1,1,1
1,1,1,1,17,7013,CWE-79,23,214335,3,211,0,1,1,1,0,0,0,0,ceph,0.006202876567840576,0.9554831385612488,1,1614,1,1,1,1
1,1,1,1,1,776,CWE-476,9,214948,0,33,0,3,0,0,0,0,0,0,nagioscore,-0.0006379485130310059,0.9521070718765259,1,213,1,1,0,0
1,1,1,1,31,81477,CWE-120,85,215264,13,1975,4,37,1,1,0,0,1,1,perl5,0.008784592151641846,0.9491892457008362,1,13490,1,1,0,0
1,1,1,1,2,403,CWE-20,2,215391,0,11,0,0,0,0,0,0,0,0,linux-2.6,-0.00906527042388916,0.9389445781707764,1,64,1,1,0,0
1,1,1,1,21,2320,CWE-119,10,215921,0,80,0,1,1,1,0,0,0,0,grep,0.048949480056762695,1.0,1,648,1,1,1,1
0,0,1,1,2,1312,CWE-310,0,215948,0,60,0,0,0,0,0,0,0,0,nettle,0.012684822082519531,0.9552356004714966,1,470,1,1,0,0
1,1,1,1,0,729,CWE-275,2,216637,0,25,1,0,0,0,0,0,1,1,guile,0.0025672316551208496,0.9394131898880005,1,160,1,1,1,1
1,1,1,1,9,10741,CWE-125,151,216861,2,315,1,34,1,1,0,0,0,0,openssl,0.0076334476470947266,0.9596515893936157,1,1935,1,1,1,1
0,0,1,1,0,155,CWE-400,0,216906,0,6,0,0,0,0,0,0,0,0,server,-0.0042198896408081055,0.9256032705307007,1,41,1,1,1,1
1,1,1,1,2,5013,CWE-617,1,216965,0,146,1,0,1,1,0,0,0,0,server,0.013579607009887695,0.9319337010383606,1,959,1,1,1,1
1,0,0,1,4,3008,CWE-617,10,219931,4,80,4,0,1,0,0,1,1,0,tensorflow,0.005847573280334473,0.9384267330169678,0,621,1,0,0,1
0,1,0,1,0,1161,CWE-862,1,221413,0,43,0,0,0,1,0,1,1,0,linux,0.005227863788604736,0.9523025155067444,0,278,1,0,0,1
1,0,0,1,3,22737,CWE-125,23,223368,0,734,0,11,1,0,0,1,1,0,pcre2,0.007847905158996582,0.9262903928756714,0,5051,1,0,1,0
1,0,0,1,0,508,CWE-476,5,225473,0,17,0,1,1,0,0,1,1,0,tensorflow,-0.009668111801147461,0.9274637699127197,0,102,1,0,1,0
0,1,0,1,1,3181,CWE-476,1,226433,0,59,2,0,0,1,0,1,0,1,tensorflow,-0.0016922950744628906,0.9583321213722229,0,647,1,0,0,1
0,1,0,1,0,1966,CWE-476,8,229337,1,45,0,5,1,0,0,1,1,0,tensorflow,0.014657318592071533,0.9409423470497131,0,410,1,0,0,1
1,0,0,1,3,305,CWE-200,2,238322,1,20,1,0,0,1,0,1,1,0,barebox,-0.0016684532165527344,0.939910352230072,0,86,1,0,0,1
0,1,0,1,8,10312,CWE-354,3,241369,2,234,4,0,1,0,0,1,1,0,tensorflow,0.007905125617980957,0.9436521530151367,0,1981,1,0,1,0
1,0,0,1,1,2578,CWE-125,1,242899,0,54,0,1,1,0,0,1,1,0,tensorflow,0.004975378513336182,0.9257679581642151,0,464,1,0,1,0
0,1,0,1,8,2303,CWE-20,10,242926,0,60,0,0,1,0,0,1,1,0,tensorflow,0.0002181529998779297,0.9550331830978394,0,502,1,0,0,1
1,0,0,1,11,4067,CWE-703,6,245140,0,85,0,0,1,0,0,1,1,0,tensorflow,0.002238929271697998,0.9419932961463928,0,587,1,0,0,1
0,1,0,1,1,1915,CWE-369,2,246495,0,45,0,0,1,0,0,1,0,1,tensorflow,0.0,0.9473526477813721,0,363,1,0,0,1
1,0,0,1,8,3886,CWE-125,0,253515,0,178,0,0,1,0,0,1,1,0,mruby,0.0,0.9405497312545776,0,1004,1,0,1,0
0,1,0,1,2,4710,CWE-125,5,256138,3,116,3,1,1,0,0,1,0,1,tensorflow,0.0056043267250061035,0.9674717783927917,0,1144,1,0,0,1
0,1,0,1,0,552,CWE-703,3,256587,0,11,0,2,1,0,0,1,1,0,tensorflow,0.0,0.9777206778526306,0,109,1,0,1,0
1,0,0,1,0,1900,CWE-369,3,258082,0,51,0,1,1,0,0,1,1,0,tensorflow,0.0014459490776062012,0.9671487808227539,0,358,1,0,1,0
0,1,0,1,26,3684,CWE-125,2,269323,0,82,0,0,0,1,0,1,0,1,tensorflow,0.005492687225341797,0.9519917964935303,0,828,1,0,0,1
0,1,0,1,4,1388,CWE-200,14,270767,1,65,2,2,0,1,0,1,0,1,barebox,0.003004133701324463,0.9476161599159241,0,299,1,0,0,1
0,1,0,1,4,1859,CWE-369,0,270922,1,39,0,0,0,1,0,1,0,1,tensorflow,0.02632439136505127,0.9604015350341797,0,308,1,0,0,1
1,0,0,1,0,602,CWE-476,11,337374,0,26,0,5,1,0,0,1,1,0,vim,0.0062670111656188965,0.933066725730896,0,147,1,0,1,0
1,0,0,1,0,650,CWE-125,2,361298,0,20,0,0,1,0,0,1,0,1,admesh,-0.00390702486038208,0.9232594966888428,0,168,1,0,0,1
1,0,0,1,1,1051,CWE-401,0,373535,0,27,0,0,1,0,0,1,1,0,ovs,-0.0015590786933898926,0.9436839818954468,0,173,1,0,0,1
0,1,0,1,3,400,CWE-119,2,382797,0,24,1,0,0,1,0,1,1,0,php-src,-0.011069297790527344,0.9676592946052551,0,116,1,0,0,1
1,0,0,1,4,393,CWE-120,3,391628,0,22,0,0,1,0,0,1,0,1,linux,9.131431579589844e-05,0.9505347013473511,0,92,1,0,1,0
1,0,0,1,0,636,CWE-119,4,417472,0,22,0,1,1,0,0,1,1,0,libvirt,0.0014722347259521484,0.938132107257843,0,121,1,0,1,0
1,0,0,1,1,179,CWE-125,1,432346,0,9,0,0,0,1,0,1,1,0,qemu,-0.0024039745330810547,0.9397072792053223,0,49,1,0,1,0
0,1,0,1,0,960,CWE-476,0,443152,1,40,0,0,0,1,0,1,1,0,linux,0.003740549087524414,0.9560534358024597,0,234,1,0,0,1
0,1,0,1,0,1868,CWE-22,15,445881,0,59,0,7,1,0,0,1,1,0,file-roller,0.0021238327026367188,0.959731936454773,0,305,1,0,1,0
1,0,0,1,0,1349,CWE-122,0,449294,0,47,0,0,1,0,0,1,1,0,vim,-0.0031300783157348633,0.936733603477478,0,256,1,0,1,0
1,0,0,1,1,1137,CWE-269,13,452994,0,57,3,0,1,0,0,1,1,0,nf,-0.000278472900390625,0.9436362385749817,0,272,1,0,0,1
1,0,0,1,7,435,CWE-416,0,513202,0,14,1,0,0,1,0,1,1,0,server,-0.003479301929473877,0.9570538401603699,0,112,1,0,0,1
