sample_key,idx,target,project,cwe,char_len,line_count,memory_api_count,string_api_count,bounds_keyword_count,error_handling_keyword_count,lifecycle_keyword_count,retrieval_top1_score,retrieval_pos_neg_margin_max,retrieval_top1_evidence_role,zero_shot_pred,balanced_grouped_no_label_bc_pred,zero_shot_pred,icl_pred,old_rag_pred,positive_weighted_rag_pred,balanced_grouped_no_label_bc_pred,icl_message_chars,method_pred_entropy
idx:201384,201384,1,vim,CWE-787,762,40,0,0,0,5,0,0.938796877861023,0.006006360054016113,vulnerable_changed,1,0,1,0,0,0,0,2070,0.8112781244591328
idx:349528,349528,0,linux,CWE-772,385,20,0,0,0,0,0,0.9535638093948364,0.0018349289894104004,safe_background,0,1,0,0,1,1,1,8943,0.8112781244591328
idx:355649,355649,0,vim,CWE-787,6349,283,1,0,11,33,3,0.9813725352287292,0.02394646406173706,vulnerable_changed,0,1,0,0,0,0,1,61722,0.954434002924965
idx:204412,204412,1,bpf,CWE-787,1123,42,0,0,8,10,0,0.9561519622802734,0.0005410909652709961,safe_background,1,0,1,0,0,1,0,11378,0.954434002924965
idx:366223,366223,0,linux,CWE-200,637,30,0,0,0,10,0,0.9595882892608643,-0.0010012984275817871,safe_background,0,1,0,0,1,0,1,1833,0.8112781244591328
idx:206273,206273,1,radare2,CWE-416,5477,177,8,8,0,28,8,0.9434003829956055,0.0028003454208374023,vulnerable_context,1,0,1,1,1,0,0,26021,0.8112781244591328
idx:380955,380955,0,vim,CWE-787,10110,400,5,0,5,22,16,0.9634653329849243,0.006507396697998047,vulnerable_changed,0,1,0,0,0,0,1,65483,0.5435644431995964
idx:206677,206677,1,vim,CWE-703,5339,211,0,0,13,25,0,0.9459242224693298,0.00909888744354248,vulnerable_changed,1,0,1,1,0,1,0,28223,0.8112781244591328
idx:206946,206946,1,jasper,CWE-703,4177,168,1,0,2,4,0,0.9437704682350159,0.005607903003692627,vulnerable_changed,1,0,1,0,1,0,0,28249,0.954434002924965
idx:391628,391628,0,linux,CWE-120,393,22,0,1,4,3,0,0.9505347013473511,9.131431579589844e-05,fixed_changed,0,1,0,0,0,1,1,3044,0.954434002924965
idx:207150,207150,1,squirrel,CWE-703,600,18,0,0,0,3,0,0.9324642419815063,-0.00350266695022583,safe_background,1,0,1,1,0,0,0,27127,0.954434002924965
idx:400409,400409,0,vim,CWE-787,618,27,0,0,0,1,0,0.9588876962661743,-0.003449857234954834,safe_background,0,1,0,0,0,0,1,11939,0.8112781244591328
idx:401579,401579,0,linux,CWE-200,1766,65,0,0,10,3,0,0.9385461807250977,0.0005089044570922852,vulnerable_changed,0,1,0,0,0,0,1,4699,0.5435644431995964
idx:208411,208411,1,vim,CWE-787,16023,604,2,0,76,32,9,0.9509167671203613,0.004965364933013916,vulnerable_changed,1,0,1,1,1,0,0,63616,0.954434002924965
idx:208505,208505,1,tor,CWE-399,17737,536,3,16,10,149,0,0.9442147612571716,0.012594461441040039,vulnerable_changed,1,0,1,0,1,1,0,55590,0.8112781244591328
idx:412190,412190,0,vim,CWE-787,1586,71,1,0,0,3,1,0.9335687756538391,0.004597604274749756,safe_background,0,1,0,0,0,0,1,12907,0.5435644431995964
idx:417472,417472,0,libvirt,CWE-119,636,22,0,0,0,4,0,0.938132107257843,0.0014722347259521484,vulnerable_changed,0,1,0,0,0,0,1,9097,0.5435644431995964
idx:209801,209801,1,mujs,CWE-476,205,12,0,0,0,0,0,0.9336884021759033,-0.005639076232910156,vulnerable_context,1,0,1,0,0,0,0,23071,1.0
idx:436066,436066,0,linux,CWE-125,2863,98,4,0,2,17,3,0.9605973958969116,0.0025241971015930176,vulnerable_changed,0,1,0,0,0,1,1,8792,0.954434002924965
idx:436990,436990,0,vim,CWE-125,3868,186,0,0,0,15,0,0.9111355543136597,-0.0011807084083557129,safe_background,0,1,0,1,0,0,1,14242,1.0
idx:437291,437291,0,oniguruma,CWE-125,4381,173,1,0,6,26,0,0.940944492816925,0.0002645254135131836,vulnerable_context,0,1,0,0,0,0,1,57010,0.954434002924965
idx:437708,437708,0,linux,CWE-401,1348,48,2,1,2,5,0,0.9548231959342957,0.0011045336723327637,vulnerable_changed,0,1,0,0,0,1,1,9929,0.954434002924965
idx:438686,438686,0,linux,CWE-415,795,30,2,0,1,7,2,0.9437553882598877,0.0003319978713989258,vulnerable_changed,0,1,0,0,0,0,1,6771,0.8112781244591328
idx:442959,442959,0,vim,CWE-200,3513,145,0,0,30,1,1,0.9512485265731812,0.004207789897918701,vulnerable_changed,0,1,0,0,0,0,1,11254,0.8112781244591328
idx:210928,210928,1,linux,CWE-476,900,39,0,0,0,0,1,0.9593801498413086,0.00790870189666748,vulnerable_changed,1,0,1,0,0,0,0,17891,1.0
idx:443298,443298,0,vim,CWE-416,22967,761,0,0,10,114,12,0.9365551471710205,0.012569904327392578,vulnerable_changed,0,1,0,1,0,0,1,74908,0.954434002924965
idx:445881,445881,0,file-roller,CWE-22,1868,59,0,0,0,15,0,0.959731936454773,0.0021238327026367188,vulnerable_changed,0,1,0,1,0,0,1,21724,1.0
idx:450764,450764,0,vim,CWE-416,1757,78,0,0,0,11,1,0.941464900970459,-0.001874387264251709,fixed_changed,0,1,0,0,0,0,1,8650,0.8112781244591328
idx:452377,452377,0,vim,CWE-787,6020,210,4,0,3,13,6,0.9382659196853638,0.0002739429473876953,vulnerable_changed,0,1,0,1,1,0,1,19158,1.0
idx:212407,212407,1,varnish-cache,CWE-703,295,13,0,1,0,7,0,0.9438270330429077,0.0011130571365356445,vulnerable_changed,1,0,1,1,1,0,0,5456,0.8112781244591328
idx:212433,212433,1,vim,CWE-416,16686,686,4,1,21,46,3,0.9342244267463684,0.010997593402862549,vulnerable_changed,1,0,1,1,0,0,0,68581,1.0
idx:462511,462511,0,vim,CWE-416,2647,111,1,0,0,37,2,0.9466654062271118,0.00019884109497070312,safe_background,0,1,0,0,0,0,1,6977,0.954434002924965
idx:463051,463051,0,qemu,CWE-835,322,11,0,0,3,0,0,0.9544636011123657,0.00013583898544311523,vulnerable_changed,0,1,0,0,1,0,1,1552,0.8112781244591328
idx:213528,213528,1,linux,CWE-416,2176,84,0,2,3,20,1,0.9335735440254211,-6.622076034545898e-05,fixed_changed,1,0,1,0,0,0,0,27880,1.0
idx:213998,213998,1,libtpms,CWE-119,482,20,0,0,1,4,0,0.935049295425415,0.0,safe_background,1,0,1,0,0,0,0,3751,0.5435644431995964
idx:214335,214335,1,ceph,CWE-79,7013,211,0,3,17,23,3,0.9554831385612488,0.006202876567840576,vulnerable_changed,1,0,1,1,1,0,0,32349,0.8112781244591328
idx:483053,483053,0,linux,CWE-269,713,25,0,0,4,3,2,0.9385315179824829,0.0010017156600952148,vulnerable_changed,0,1,0,1,1,1,1,4192,0.8112781244591328
idx:489124,489124,0,linux-2.6,CWE-20,397,12,0,0,2,2,0,0.9386248588562012,-0.007460832595825195,fixed_changed,0,1,0,0,1,0,1,5105,0.954434002924965
idx:498160,498160,0,nettle,CWE-310,1552,74,0,0,2,0,0,0.9552354216575623,0.012684941291809082,vulnerable_changed,0,1,0,1,0,0,1,39209,0.954434002924965
idx:216126,216126,1,openssl,CWE-20,1641,53,0,0,0,16,0,0.9454816579818726,-0.006928622722625732,safe_background,1,0,1,1,1,1,0,18735,0.5435644431995964
idx:216637,216637,1,guile,CWE-275,729,25,1,0,0,2,0,0.9394131898880005,0.0025672316551208496,vulnerable_context,1,0,1,0,0,1,0,4306,0.954434002924965
idx:216906,216906,1,server,CWE-400,155,6,0,0,0,0,0,0.9256032705307007,-0.0042198896408081055,safe_background,1,0,1,1,0,0,0,1351,0.954434002924965
idx:511472,511472,0,server,CWE-416,15074,476,4,0,2,31,8,0.9382410049438477,0.011471390724182129,vulnerable_changed,0,1,0,1,1,0,1,50983,0.954434002924965
idx:216945,216945,1,server,CWE-617,1828,58,2,0,0,12,0,0.929215669631958,0.0012508034706115723,vulnerable_changed,1,0,1,0,0,0,0,21069,0.5435644431995964
idx:512825,512825,0,server,CWE-617,2230,68,2,0,0,13,1,0.929215669631958,0.0012508034706115723,vulnerable_changed,0,1,0,0,0,0,1,24583,0.5435644431995964
