sample_key,idx,target,project,cwe,char_len,line_count,memory_api_count,string_api_count,bounds_keyword_count,error_handling_keyword_count,lifecycle_keyword_count,retrieval_top1_score,retrieval_pos_neg_margin_max,retrieval_top1_evidence_role,zero_shot_pred,author_no_yes_pred,zero_shot_pred,icl_pred,old_rag_pred,positive_weighted_rag_pred,balanced_grouped_no_label_bc_pred,icl_message_chars,method_pred_entropy
idx:256587,256587,0,tensorflow,CWE-703,552,11,0,0,0,3,0,0.9777206778526306,0.0,safe_background,0,1,0,0,0,0,0,6869,0.5435644431995964
idx:197326,197326,1,tensorflow,CWE-703,2300,56,0,0,2,1,0,0.9412029981613159,0.0002384781837463379,vulnerable_context,1,0,1,0,0,0,0,62982,0.954434002924965
idx:197760,197760,1,tensorflow,CWE-125,1030,24,0,0,0,8,0,0.9496239423751831,0.0020112991333007812,vulnerable_changed,1,0,1,0,0,0,0,4164,0.5435644431995964
idx:198452,198452,1,tensorflow,CWE-703,1722,37,0,0,0,0,0,0.9537745118141174,0.004415750503540039,vulnerable_changed,1,0,1,0,0,0,0,6340,0.5435644431995964
idx:296226,296226,0,vim,CWE-416,31465,1132,16,0,13,110,17,0.9961702823638916,0.037874579429626465,vulnerable_changed,0,1,0,0,1,0,1,82761,0.954434002924965
idx:200305,200305,1,ghostpdl,CWE-787,1184,34,0,0,1,0,0,0.9367662668228149,0.0006919503211975098,vulnerable_changed,1,0,1,1,1,1,1,23640,0.5435644431995964
idx:301481,301481,0,vim,CWE-787,39439,1431,6,12,16,24,9,0.9999997615814209,0.007527172565460205,vulnerable_context,0,1,0,0,1,1,0,78659,1.0
idx:317271,317271,0,linux,CWE-416,203,6,0,0,0,3,0,0.9385791420936584,-0.007439255714416504,safe_background,0,1,0,0,0,0,1,1109,1.0
idx:201384,201384,1,vim,CWE-787,762,40,0,0,0,5,0,0.938796877861023,0.006006360054016113,vulnerable_changed,1,0,1,0,0,0,0,2070,0.8112781244591328
idx:349528,349528,0,linux,CWE-772,385,20,0,0,0,0,0,0.9535638093948364,0.0018349289894104004,safe_background,0,1,0,0,1,1,1,8943,0.8112781244591328
idx:204278,204278,1,firejail,CWE-94,876,32,1,0,0,6,0,0.954625129699707,0.0046634674072265625,vulnerable_changed,1,0,1,1,1,1,1,6568,0.5435644431995964
idx:204535,204535,1,admesh,CWE-125,620,16,0,0,0,2,0,0.9336001873016357,-0.009372830390930176,vulnerable_context,1,0,1,0,0,1,1,4965,0.954434002924965
idx:384767,384767,0,vim,CWE-122,6183,241,0,0,2,11,4,0.9562565088272095,0.0018655657768249512,vulnerable_changed,0,1,0,0,0,0,0,17504,0.5435644431995964
idx:401525,401525,0,linux,CWE-200,746,23,0,0,0,0,0,0.9428854584693909,-0.0010606050491333008,safe_background,0,1,0,0,0,1,0,4311,0.8112781244591328
idx:208107,208107,1,linux,CWE-703,913,44,0,0,0,4,0,0.9406047463417053,0.0027914047241210938,vulnerable_changed,1,0,1,0,0,0,1,10483,1.0
idx:436066,436066,0,linux,CWE-125,2863,98,4,0,2,17,3,0.9605973958969116,0.0025241971015930176,vulnerable_changed,0,1,0,0,0,1,1,8792,0.954434002924965
idx:436990,436990,0,vim,CWE-125,3868,186,0,0,0,15,0,0.9111355543136597,-0.0011807084083557129,safe_background,0,1,0,1,0,0,1,14242,1.0
idx:437291,437291,0,oniguruma,CWE-125,4381,173,1,0,6,26,0,0.940944492816925,0.0002645254135131836,vulnerable_context,0,1,0,0,0,0,1,57010,0.954434002924965
idx:437708,437708,0,linux,CWE-401,1348,48,2,1,2,5,0,0.9548231959342957,0.0011045336723327637,vulnerable_changed,0,1,0,0,0,1,1,9929,0.954434002924965
idx:438686,438686,0,linux,CWE-415,795,30,2,0,1,7,2,0.9437553882598877,0.0003319978713989258,vulnerable_changed,0,1,0,0,0,0,1,6771,0.8112781244591328
idx:210887,210887,1,qemu,CWE-835,491,14,0,0,4,0,0,0.9517393112182617,0.00038635730743408203,vulnerable_context,1,0,1,0,1,1,1,9074,0.8112781244591328
idx:442959,442959,0,vim,CWE-200,3513,145,0,0,30,1,1,0.9512485265731812,0.004207789897918701,vulnerable_changed,0,1,0,0,0,0,1,11254,0.8112781244591328
idx:445881,445881,0,file-roller,CWE-22,1868,59,0,0,0,15,0,0.959731936454773,0.0021238327026367188,vulnerable_changed,0,1,0,1,0,0,1,21724,1.0
idx:450764,450764,0,vim,CWE-416,1757,78,0,0,0,11,1,0.941464900970459,-0.001874387264251709,fixed_changed,0,1,0,0,0,0,1,8650,0.8112781244591328
idx:452377,452377,0,vim,CWE-787,6020,210,4,0,3,13,6,0.9382659196853638,0.0002739429473876953,vulnerable_changed,0,1,0,1,1,0,1,19158,1.0
idx:211868,211868,1,nf,CWE-269,1118,56,3,0,1,13,0,0.955946683883667,0.010764598846435547,vulnerable_changed,1,0,1,0,0,0,1,23984,0.954434002924965
idx:459029,459029,0,varnish-cache,CWE-703,334,15,0,1,0,8,0,0.9350684285163879,-0.00030344724655151367,vulnerable_context,0,1,0,0,1,0,0,5495,1.0
idx:212436,212436,1,linux,CWE-787,532,22,0,0,1,8,0,0.9418067932128906,0.0066991448402404785,vulnerable_changed,1,0,1,0,1,1,1,6172,1.0
idx:212822,212822,1,ghostpdl,CWE-787,501,14,1,0,5,1,0,0.9554814100265503,-0.001347959041595459,safe_background,1,0,1,0,1,0,1,12560,0.954434002924965
idx:462511,462511,0,vim,CWE-416,2647,111,1,0,0,37,2,0.9466654062271118,0.00019884109497070312,safe_background,0,1,0,0,0,0,1,6977,0.954434002924965
idx:212927,212927,1,qemu,CWE-835,320,11,0,0,3,0,0,0.9535771012306213,-0.001790463924407959,safe_background,1,0,1,1,1,0,1,1550,1.0
idx:213370,213370,1,glib,CWE-754,3733,117,0,0,0,18,1,0.9401930570602417,0.005446016788482666,vulnerable_context,1,0,1,0,0,0,1,16732,1.0
idx:213998,213998,1,libtpms,CWE-119,482,20,0,0,1,4,0,0.935049295425415,0.0,safe_background,1,0,1,0,0,0,0,3751,0.5435644431995964
idx:477800,477800,0,ceph,CWE-79,7565,224,0,3,17,26,3,0.9554831385612488,0.006202876567840576,vulnerable_changed,0,1,0,1,1,0,0,27297,1.0
idx:483053,483053,0,linux,CWE-269,713,25,0,0,4,3,2,0.9385315179824829,0.0010017156600952148,vulnerable_changed,0,1,0,1,1,1,1,4192,0.8112781244591328
idx:489124,489124,0,linux-2.6,CWE-20,397,12,0,0,2,2,0,0.9386248588562012,-0.007460832595825195,fixed_changed,0,1,0,0,1,0,1,5105,0.954434002924965
idx:498160,498160,0,nettle,CWE-310,1552,74,0,0,2,0,0,0.9552354216575623,0.012684941291809082,vulnerable_changed,0,1,0,1,0,0,1,39209,0.954434002924965
idx:216906,216906,1,server,CWE-400,155,6,0,0,0,0,0,0.9256032705307007,-0.0042198896408081055,safe_background,1,0,1,1,0,0,0,1351,0.954434002924965
idx:216945,216945,1,server,CWE-617,1828,58,2,0,0,12,0,0.929215669631958,0.0012508034706115723,vulnerable_changed,1,0,1,0,0,0,0,21069,0.5435644431995964
