author_no_yes_correct,author_no_yes_pred,best_ensemble_correct,best_ensemble_pred,bounds_keyword_count,char_len,cwe,error_handling_keyword_count,idx,lifecycle_keyword_count,line_count,memory_api_count,null_keyword_count,old_rag_correct,old_rag_pred,patch_contrast_correct,patch_contrast_pred,positive_weighted_rag_correct,positive_weighted_rag_pred,project,retrieval_pos_neg_margin_max,retrieval_top1_score,target,token_len_approx,yes_only_correct,yes_only_pred,zero_shot_correct,zero_shot_pred,base_pred_column,base_pred,repair_verifier_available,repair_verifier_pred,repair_present,repair_type,repair_confidence,repair_evidence,repair_reason,repair_override,repair_applied_pred,repair_applied_correct
1,1,1,1,0,1703,CWE-909,22,195026,1,78,1,2,0,0,0,0,0,0,linux,0.0028592944145202637,0.9666721224784851,1,412,0,0,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,11,4634,CWE-401,7,195028,3,94,2,1,1,1,1,1,1,1,tensorflow,0.004166722297668457,0.9367724657058716,1,956,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,4,2052,CWE-125,6,195029,0,62,1,3,1,1,0,0,0,0,tensorflow,0.002110421657562256,0.9451507329940796,1,484,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,11,877,CWE-476,5,195038,0,40,0,0,1,1,1,1,0,0,mruby,0.007182121276855469,0.9425991773605347,1,249,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,0,3831,CWE-354,2,195039,0,83,0,0,1,1,1,1,0,0,tensorflow,0.0006667971611022949,0.9582131505012512,1,854,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,0,2726,CWE-476,8,195040,0,62,2,0,0,0,0,0,0,0,tensorflow,0.003389716148376465,0.9284627437591553,1,516,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,8,3819,CWE-787,0,195055,0,90,0,0,1,1,1,1,1,1,tensorflow,0.005332231521606445,1.0,1,746,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
0,0,1,1,0,2670,CWE-369,1,195056,0,65,0,0,1,1,0,0,0,0,tensorflow,0.0046010613441467285,0.942516028881073,1,623,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
0,0,0,0,0,1177,CWE-617,10,195059,0,40,0,1,0,0,0,0,0,0,tensorflow,0.007836639881134033,0.9269979000091553,1,287,0,0,0,0,best_ensemble_pred,0,0,,,,,,,0,0,0
1,1,1,1,33,16506,CWE-476,21,195063,0,535,16,4,1,1,1,1,1,1,gpac,0.0061896443367004395,0.9643875956535339,1,3658,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,0,1715,CWE-120,5,195069,1,49,0,0,1,1,1,1,1,1,gpac,-0.0004793405532836914,0.9593364000320435,1,403,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,11,4701,CWE-416,7,195073,3,95,2,1,1,1,1,1,1,1,tensorflow,0.004166722297668457,0.9432036876678467,1,987,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,11,2689,CWE-415,12,195074,0,83,0,4,1,1,1,1,1,1,gpac,0.0035380125045776367,0.9602817296981812,1,645,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,0,1076,CWE-862,1,195082,0,40,0,0,0,0,0,0,0,0,linux,0.005227863788604736,0.9523025155067444,1,264,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,0,1232,CWE-617,8,195083,0,31,0,4,1,1,0,0,1,1,tensorflow,0.004552125930786133,0.9432876110076904,1,291,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
0,0,0,0,11,2597,CWE-754,5,195091,0,57,0,0,0,0,0,0,0,0,tensorflow,0.0,0.9504196643829346,1,585,0,0,0,0,best_ensemble_pred,0,0,,,,,,,0,0,0
0,0,0,0,0,2070,CWE-843,16,195092,0,64,0,1,0,0,0,0,0,0,hermes,0.006906986236572266,0.9304217100143433,1,352,0,0,0,0,best_ensemble_pred,0,0,,,,,,,0,0,0
1,1,1,1,1,3786,CWE-295,38,195095,1,118,1,12,1,1,0,0,1,1,e2guardian,0.01042938232421875,0.9269136786460876,1,769,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,0,1780,CWE-362,5,195220,0,68,0,0,1,1,1,1,1,1,tmate-ssh-server,0.016721069812774658,0.9535486698150635,1,390,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,6,7256,CWE-125,11,195230,2,215,0,4,1,1,1,1,1,1,pjproject,0.004028499126434326,0.9508480429649353,1,1817,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,4,4464,CWE-476,18,195231,0,161,4,2,1,1,1,1,1,1,gpac,0.002812027931213379,0.9678078293800354,1,1010,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
0,0,0,0,0,360,CWE-787,3,195233,0,10,0,1,0,0,0,0,0,0,tensorflow,-0.0008819103240966797,0.9283635020256042,1,70,0,0,0,0,best_ensemble_pred,0,0,,,,,,,0,0,0
0,0,0,0,7,1873,CWE-617,2,195234,0,45,0,0,0,0,0,0,0,0,tensorflow,0.0020232200622558594,0.9212559461593628,1,406,0,0,0,0,best_ensemble_pred,0,0,,,,,,,0,0,0
1,1,1,1,38,7995,CWE-190,52,195237,0,257,4,18,1,1,1,1,1,1,ImageMagick,0.011409521102905273,1.0,1,1841,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
0,0,1,1,3,22734,CWE-125,23,195264,0,734,0,11,0,0,1,1,0,0,pcre2,0.007847905158996582,0.9262903928756714,1,5048,0,0,0,0,best_ensemble_pred,1,0,,,,,,,0,1,1
0,0,1,1,1,4637,CWE-476,14,195274,2,118,0,0,0,0,0,0,0,0,tensorflow,0.004723846912384033,0.9386633634567261,1,924,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,0,3667,CWE-908,5,195291,0,87,2,1,1,1,1,1,1,1,tensorflow,0.0,0.9583176374435425,1,707,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
0,0,1,1,18,1302,CWE-476,2,195293,0,59,0,0,0,0,1,1,0,0,mruby,0.0025893449783325195,0.9120312929153442,1,349,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,1,967,CWE-843,1,195294,1,27,0,1,0,0,1,1,0,0,tensorflow,0.001466989517211914,0.9599606990814209,1,221,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
0,0,1,1,8,3885,CWE-125,0,195295,0,178,0,0,1,1,1,1,0,0,mruby,0.0,0.9405497312545776,1,1004,0,0,0,0,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,1,2354,CWE-787,3,195296,1,56,0,0,1,1,1,1,1,1,uWebSockets,-0.0011370182037353516,0.9244944453239441,1,439,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,0,10440,CWE-20,34,195308,1,275,0,5,1,1,0,0,0,0,flatpak,0.001347362995147705,0.9748321771621704,1,2159,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,19,11823,CWE-400,33,195309,1,346,10,15,1,1,1,1,1,1,squid,0.005326509475708008,0.9442914724349976,1,2023,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,4,1840,CWE-415,5,195328,0,84,1,1,1,1,1,1,1,1,gpac,0.005679607391357422,0.9576780796051025,1,596,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,0,3246,CWE-843,6,195331,0,87,0,1,1,1,1,1,1,1,tensorflow,-3.9458274841308594e-05,0.9754899740219116,1,759,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,2,2502,CWE-415,3,195334,0,74,0,0,1,1,1,1,1,1,gpac,0.005014538764953613,0.955898642539978,1,514,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,14,6813,CWE-190,4,195340,0,129,0,1,0,0,1,1,1,1,tensorflow,0.00843900442123413,0.9523455500602722,1,1225,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,3,7263,CWE-125,1,195343,0,141,0,1,1,1,1,1,1,1,tensorflow,0.004746079444885254,0.9698425531387329,1,1261,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
0,0,1,1,0,3354,CWE-276,57,195385,0,89,0,23,0,0,0,0,0,0,flatpak,0.008996784687042236,0.935231626033783,1,412,0,0,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
0,0,0,0,27,46206,CWE-522,191,195388,29,1597,8,13,0,0,0,0,0,0,postgres,0.006590843200683594,0.9400221109390259,1,8918,0,0,0,0,best_ensemble_pred,0,0,,,,,,,0,0,0
0,0,0,0,0,699,CWE-617,4,195389,0,19,0,0,0,0,0,0,0,0,tensorflow,0.0,0.9200434684753418,1,196,0,0,0,0,best_ensemble_pred,0,0,,,,,,,0,0,0
1,1,1,1,13,4681,CWE-190,3,195391,0,107,0,0,1,1,1,1,1,1,tensorflow,0.0034638047218322754,0.9594714045524597,1,927,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,7,1512,CWE-134,1,195398,0,49,1,0,0,0,0,0,1,1,v4l2loopback,0.002740621566772461,0.9611207246780396,1,318,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,0,449,CWE-476,3,195399,0,14,0,0,1,1,1,1,1,1,tensorflow,-0.0029261112213134766,0.9233471155166626,1,91,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,5,312,CWE-190,1,195402,0,10,0,0,1,1,0,0,1,1,tensorflow,-0.0033718347549438477,0.9300939440727234,1,72,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
0,0,0,0,4,260,CWE-190,5,195403,0,8,1,1,0,0,0,0,0,0,tensorflow,-0.0007879137992858887,0.9447267055511475,1,56,0,0,0,0,best_ensemble_pred,0,0,,,,,,,0,0,0
1,1,1,1,7,4646,CWE-369,3,195404,0,114,0,3,1,1,1,1,1,1,tensorflow,-0.0012090802192687988,0.9650185704231262,1,980,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,38,7979,CWE-190,51,195405,0,259,4,18,1,1,1,1,1,1,ImageMagick6,0.00982201099395752,0.9999998807907104,1,1820,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,0,269,CWE-476,3,195409,0,11,0,1,1,1,0,0,1,1,gpac,0.0005376338958740234,0.9447957277297974,1,88,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
0,0,1,1,1,2921,CWE-476,1,195410,0,58,2,0,1,1,1,1,1,1,tensorflow,0.0026079416275024414,0.9493675827980042,1,564,0,0,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,4,3200,CWE-476,32,195471,2,105,3,15,1,1,1,1,0,0,weechat,0.004722297191619873,0.9251090884208679,1,623,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,14,3314,CWE-119,11,195565,0,136,3,4,1,1,1,1,1,1,hhvm,0.010402560234069824,0.9301630854606628,1,876,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,4,410,CWE-787,3,195626,0,19,1,0,1,1,1,1,1,1,qemu,0.0028516054153442383,0.9710602760314941,1,98,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
0,0,1,1,0,1859,CWE-476,7,195629,1,42,0,5,0,0,1,1,0,0,tensorflow,0.014657318592071533,0.9446703791618347,1,387,1,1,0,0,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,16,4339,CWE-703,21,195665,15,155,18,2,1,1,0,0,0,0,njs,0.010452032089233398,0.9708391427993774,1,900,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,0,3296,CWE-703,4,195670,3,121,0,0,1,1,1,1,1,1,pjproject,0.0013625621795654297,0.93860924243927,1,798,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,40,51274,CWE-703,122,195691,0,1844,0,19,1,1,0,0,1,1,mruby,-0.004718959331512451,0.9957659244537354,1,11267,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,2,2805,CWE-200,5,195692,0,55,0,1,1,1,1,1,1,1,FreeRTOS-Kernel,-0.0006622076034545898,0.9151371717453003,1,427,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,1,3323,CWE-703,0,195720,1,80,0,0,1,1,0,0,0,0,mvfst,0.004237353801727295,0.9019692540168762,1,581,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,11,6317,CWE-703,12,195740,3,170,0,0,1,1,1,1,1,1,libjpeg,0.0031682252883911133,0.9484370946884155,1,1457,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,10,5436,CWE-703,12,195741,3,150,0,0,1,1,1,1,1,1,libjpeg,0.007076263427734375,0.9254448413848877,1,1176,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,13,15815,CWE-476,50,195742,1,498,1,9,0,0,1,1,1,1,gpac,0.012874484062194824,0.9674011468887329,1,3413,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,1,2398,CWE-476,1,195752,0,47,2,0,1,1,1,1,1,1,tensorflow,-0.000141143798828125,0.9620176553726196,1,472,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,0,1049,CWE-703,1,195768,0,23,2,0,1,1,1,1,1,1,tensorflow,0.0016388297080993652,0.9521333575248718,1,220,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,1,1444,CWE-369,0,195800,0,47,0,0,0,0,0,0,0,0,deark,0.0006301999092102051,0.9547429084777832,1,446,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,0,3632,CWE-476,11,195801,0,125,0,4,1,1,1,1,1,1,php-src,0.01088571548461914,0.9859155416488647,1,943,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,0,4198,CWE-703,11,195908,1,148,1,1,1,1,1,1,1,1,linux,0.005037069320678711,0.9569805860519409,1,827,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,166,79137,CWE-125,140,195909,4,2411,37,39,1,1,1,1,1,1,ImageMagick,-0.004742741584777832,1.0,1,13477,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,1,983,CWE-787,3,195954,4,38,0,0,1,1,1,1,1,1,pjproject,-0.0008103847503662109,0.959976077079773,1,249,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,10,7615,CWE-787,1,195965,0,163,0,1,1,1,1,1,1,1,tensorflow,0.0031522512435913086,0.9539929628372192,1,1474,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,0,313,CWE-703,1,195984,0,18,0,0,1,1,1,1,1,1,gpac,0.0006006360054016113,0.9499939680099487,1,92,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
0,0,0,0,3,1227,CWE-269,3,196276,0,33,0,0,0,0,0,0,0,0,lsquic,0.00020110607147216797,0.9467276930809021,1,212,0,0,0,0,best_ensemble_pred,0,0,,,,,,,0,0,0
1,1,1,1,3,292,CWE-200,2,196316,1,18,2,0,1,1,1,1,1,1,barebox,-0.001987636089324951,0.9465223550796509,1,85,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,12,18096,CWE-416,103,196328,3,684,2,43,1,1,0,0,1,1,vim,0.005884289741516113,0.9577686786651611,1,4303,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,0,803,CWE-787,5,196578,0,29,0,1,1,1,1,1,1,1,vim,-0.00331193208694458,0.946467399597168,1,205,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,14,3420,CWE-369,0,196587,0,69,0,0,1,1,1,1,1,1,tensorflow,0.003684103488922119,0.960565447807312,1,729,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
0,0,1,1,1,1007,CWE-284,10,196611,0,50,0,2,0,0,0,0,0,0,booth,0.001924753189086914,0.9564363956451416,1,263,1,1,0,0,best_ensemble_pred,1,0,,,,,,,0,1,1
0,0,0,0,0,228,CWE-787,1,196621,0,10,0,0,0,0,0,0,0,0,mruby,-0.9501098990440369,0.9528570175170898,1,67,0,0,0,0,best_ensemble_pred,0,0,,,,,,,0,0,0
0,0,1,1,8,10045,CWE-354,3,196629,2,227,4,0,0,0,1,1,0,0,tensorflow,0.005798518657684326,0.9379404187202454,1,1924,0,0,0,0,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,5,602,CWE-703,1,196689,0,19,0,1,1,1,1,1,1,1,tensorflow,-0.0029178857803344727,0.9355963468551636,1,165,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,7,11818,CWE-703,25,196691,0,358,2,4,0,0,1,1,0,0,gpac,0.004747152328491211,0.9511579275131226,1,2384,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
0,0,1,1,0,2261,CWE-125,1,196698,0,48,0,1,0,0,1,1,0,0,tensorflow,0.004975378513336182,0.9257679581642151,1,404,0,0,0,0,best_ensemble_pred,1,0,,,,,,,0,1,1
0,0,1,1,1,1242,CWE-20,5,196705,0,31,0,0,0,0,0,0,0,0,tensorflow,-0.00422823429107666,0.9613152742385864,1,286,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,9,3832,CWE-703,5,196790,0,80,0,0,0,0,0,0,0,0,tensorflow,0.0014637112617492676,0.9426587224006653,1,553,1,1,0,0,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,6,6017,CWE-703,6,196801,1,179,0,1,1,1,1,1,1,1,gpac,0.003494858741760254,0.9481346011161804,1,1427,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,0,869,CWE-476,1,196829,0,20,0,1,0,0,0,0,0,0,tensorflow,0.0024927258491516113,0.9527596831321716,1,189,0,0,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
0,0,1,1,0,338,CWE-125,1,196834,0,8,0,0,0,0,1,1,0,0,tensorflow,-0.004029273986816406,0.9184739589691162,1,102,0,0,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,26,12844,CWE-703,3,196841,0,275,0,0,1,1,0,0,1,1,furnace,0.00399017333984375,0.9327088594436646,1,2972,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
0,0,1,1,0,1159,CWE-369,2,196846,0,30,0,0,0,0,0,0,1,1,tensorflow,0.0,0.9348767399787903,1,217,0,0,0,0,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,5,1878,CWE-787,4,196860,0,66,0,0,1,1,1,1,1,1,gpac,0.0025231242179870605,0.9514610767364502,1,433,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,2,3259,CWE-703,2,196885,0,74,0,2,1,1,1,1,0,0,tensorflow,-0.0030862092971801758,0.9384349584579468,1,717,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,0,744,CWE-284,5,196889,0,38,0,2,1,1,1,1,1,1,rpm,0.0009289383888244629,0.9468550682067871,1,201,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
0,0,1,1,5,1618,CWE-362,2,196893,4,33,0,1,1,1,0,0,0,0,envoy,-0.0010811090469360352,0.9494815468788147,1,320,0,0,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,0,1059,CWE-399,4,196894,0,35,0,0,1,1,1,1,0,0,cryptopp,0.0,0.92615807056427,1,298,0,0,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,13,7391,CWE-369,8,196993,13,212,18,1,1,1,1,1,1,1,libjxl,0.005525529384613037,0.9354521632194519,1,1695,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,0,2728,CWE-476,8,197015,1,73,0,1,1,1,1,1,1,1,gpac,0.004356503486633301,0.9424921274185181,1,578,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,0,883,CWE-552,6,197057,0,28,0,0,1,1,1,1,1,1,drogon,-0.0012202262878417969,0.9331737756729126,1,208,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
0,0,1,1,0,4283,CWE-369,2,197095,1,92,0,2,0,0,0,0,0,0,tensorflow,0.0016223788261413574,0.9095786809921265,1,755,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,25,10037,CWE-20,39,197111,0,277,5,0,1,1,1,1,1,1,tinyexr,0.00923067331314087,0.9484859108924866,1,1974,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
0,0,0,0,8,3787,CWE-125,0,197128,0,174,0,0,0,0,0,0,0,0,mruby,0.0,0.9405497312545776,1,978,0,0,0,0,best_ensemble_pred,0,0,,,,,,,0,0,0
1,1,1,1,12,6867,CWE-703,27,197135,1,280,2,2,1,1,1,1,1,1,linux,0.001026749610900879,0.9418230652809143,1,1760,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,0,2320,CWE-476,4,197142,0,56,0,3,0,0,1,1,1,1,tensorflow,0.037824392318725586,0.9976662397384644,1,508,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,4,1566,CWE-252,7,197185,0,48,0,0,1,1,1,1,1,1,FFmpeg,0.0014244318008422852,0.9455637335777283,1,338,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,12,1138,CWE-787,11,197223,0,57,0,3,1,1,1,1,1,1,njs,0.0022968053817749023,0.947179913520813,1,285,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,2,5096,CWE-20,5,197239,0,109,3,3,1,1,1,1,1,1,tensorflow,0.008997857570648193,0.9658677577972412,1,1010,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,9,9667,CWE-908,1,197242,0,206,0,0,1,1,1,1,1,1,tensorflow,0.0059667229652404785,0.9553876519203186,1,1625,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
0,0,1,1,21,2523,CWE-369,5,197247,0,63,1,0,0,0,0,0,0,0,tensorflow,0.006406426429748535,0.9360512495040894,1,501,1,1,0,0,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,1,4354,CWE-125,3,197262,3,107,3,1,0,0,1,1,1,1,tensorflow,0.008011400699615479,0.9671514630317688,1,1055,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,7,839,CWE-200,3,197305,0,29,0,0,1,1,1,1,1,1,pjproject,0.0,0.9479594230651855,1,196,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
0,0,0,0,0,418,CWE-703,3,197318,0,9,0,2,0,0,0,0,0,0,tensorflow,0.0013406872749328613,0.9566102027893066,1,81,0,0,0,0,best_ensemble_pred,0,0,,,,,,,0,0,0
0,0,1,1,2,2300,CWE-703,1,197326,0,56,0,0,0,0,0,0,0,0,tensorflow,0.0002384781837463379,0.9412029981613159,1,440,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,7,4992,CWE-703,5,197359,0,125,0,0,1,1,0,0,1,1,tensorflow,0.012466609477996826,0.9268859028816223,1,956,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
0,0,1,1,0,1647,CWE-369,2,197395,0,45,0,1,0,0,1,1,0,0,tensorflow,-0.002551853656768799,0.9532254934310913,1,300,0,0,0,0,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,3,3703,CWE-476,4,197466,2,90,1,2,0,0,1,1,0,0,tensorflow,0.007312655448913574,0.9445383548736572,1,624,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
1,1,1,1,2,3101,CWE-416,16,197499,3,96,2,3,1,1,1,1,1,1,gpac,-0.0011047124862670898,0.9534635543823242,1,708,1,1,1,1,best_ensemble_pred,1,0,,,,,,,0,1,1
